,The Car,Live at the Royal Albert Hall,Tranquility Base Hotel & Casino,AM,Suck It and See,Humbug,Favourite Worst Nightmare (Standard Version),Favourite Worst Nightmare,"Whatever People Say I Am, That's What I'm Not"
0,There’d Better Be A Mirrorball,Four Out Of Five - Live,Star Treatment,Do I Wanna Know?,She's Thunderstorms,My Propeller,Brianstorm,Brianstorm,The View From The Afternoon
1,I Ain’t Quite Where I Think I Am,Brianstorm - Live,One Point Perspective,R U Mine?,Black Treacle,Crying Lightning,Teddy Picker,Teddy Picker,I Bet You Look Good On The Dancefloor
2,Sculptures Of Anything Goes,Crying Lightning - Live,American Sports,One For The Road,Brick By Brick,Dangerous Animals,D Is for Dangerous,D is for Dangerous,Fake Tales Of San Francisco
3,Jet Skis On The Moat,Do I Wanna Know? - Live,Tranquility Base Hotel & Casino,Arabella,The Hellcat Spangled Shalalala,Secret Door,Balaclava,Balaclava,Dancing Shoes
4,Body Paint,Why'd You Only Call Me When You're High? - Live,Golden Trunks,I Want It All,Don't Sit Down 'Cause I've Moved Your Chair,Potion Approaching,Fluorescent Adolescent,Fluorescent Adolescent,You Probably Couldn't See For The Lights But You Were Staring Straight At Me
5,The Car,505 - Live,Four Out Of Five,No. 1 Party Anthem,Library Pictures,Fire And The Thud,Only Ones Who Know,Only Ones Who Know,Still Take You Home
6,Big Ideas,One Point Perspective - Live,The World's First Ever Monster Truck Front Flip,Mad Sounds,All My Own Stunts,Cornerstone,Do Me a Favour,Do Me a Favour,Riot Van
7,Hello You,Do Me A Favour - Live,Science Fiction,Fireside,Reckless Serenade,Dance Little Liar,This House Is a Circus,This House is a Circus,Red Light Indicates Doors Are Secured
8,Mr Schwartz,Cornerstone - Live,She Looks Like Fun,Why'd You Only Call Me When You're High?,Piledriver Waltz,Pretty Visitors,"If You Were There, Beware","If You Were There, Beware",Mardy Bum
9,Perfect Sense,Knee Socks - Live,Batphone,Snap Out Of It,Love is a Laserquest,The Jeweller's Hands,The Bad Thing,The Bad Thing,Perhaps Vampires Is A Bit Strong But…
10,,Arabella - Live,The Ultracheese,Knee Socks,Suck It and See,,Old Yellow Bricks,Old Yellow Bricks,When The Sun Goes Down
11,,Tranquility Base Hotel & Casino - Live,,I Wanna Be Yours,That's Where You're Wrong,,505,505,From The Ritz To The Rubble
12,,She Looks Like Fun - Live,,,,,,,A Certain Romance
13,,From The Ritz To The Rubble - Live,,,,,,,
14,,Pretty Visitors - Live,,,,,,,
15,,Don't Sit Down 'Cause I've Moved Your Chair - Live,,,,,,,
16,,I Bet You Look Good On The Dancefloor - Live,,,,,,,
17,,Star Treatment - Live,,,,,,,
18,,The View From The Afternoon - Live,,,,,,,
19,,R U Mine? - Live,,,,,,,
